Country,Lat,Long
US,39.5912,-106.064
US,40.9263,-74.077
US,29.7752,-95.3103
US,37.7749,-122.4194
US,37.8534,-121.9018
US,33.7879,-117.8531
US,42.1767,-71.1449
US,33.2918,-112.4291
US,35.8032,-78.5661
US,41.122,-73.7949
US,43.9088,-71.826
US,27.9904,-82.3018
US,39.0916,-120.8039
US,37.563,-122.3255
US,38.578,-122.9888
US,45.775,-118.7606
US,33.8034,-84.3963
US,45.547,-123.1386
US,48.033,-121.8339
US,40.745,-123.8695
US,38.4747,-121.3542
US,32.7157,-117.1611
US,36.5761,-120.9876
US,34.0522,-118.2437
US,47.6062,-122.3321
US,41.7377,-87.6976
US,48.4242,-121.7114
US,46.8646,-122.7696
US,48.1976,-122.5795
US,48.8787,-121.9719
US,38.0834,-122.7633
US,38.196,-120.6805
US,37.5091,-120.9876
US,36.6066,-120.189
US,42.632,-70.7829
US,30.7917,-82.0843
US,26.07,-81.4279
US,27.8764,-82.7779
US,29.7938,-82.4944
US,30.5927,-81.8224
US,28.3232,-82.4319
US,32.7767,-96.797
US,32.7732,-97.3517
US,30.3883,-95.6963
US,40.5726,-74.4927
US,39.58,-105.2663
US,45.5146,-122.5863
US,44.9267,-123.4919
US,43.8325,-121.2617
US,42.3334,-88.2668
US,42.3689,-87.8272
US,40.4108,-75.2479
US,37.7772,-77.5161
US,34.7253,-80.6771
US,36.4933,-82.3452
US,39.4638,-86.1345
US,40.4483,-86.1345
US,41.6228,-86.3377
US,42.6712,-97.8722
US,40.8685,-81.2519
US,45.3293,-93.2197
US,43.9952,-92.3814
US,40.8298,-110.9984
US,41.256,-73.3709
US,41.7866,-73.2765
US,29.9511,-90.0715
US,43.8901,-102.2548
US,44.4797,-98.2213
US,43.0985,-98.3965
US,43.7242,-98.2213
US,43.6632,-96.8351
US,42.9815,-97.8722
US,33.8837,-106.7235
US,35.0178,-106.6291
US,42.5922,-83.3362
US,42.2791,-83.3362
US,39.5393,-75.6674
