,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
112,Ghana,19,3.0,0.0,0.0,0.0,19,0.0,0.6,31073000.0,7.946527000000001,-1.0231940000000002,6.114633282914426e-05,0.0,100.0,0.0
113,Paraguay,18,0.0,1.0,1.0,0.0,17,1.0,3.0,7133000.0,-23.442503,-58.44383199999999,0.00025234824057198936,0.0,94.44444444444444,5.555555555555555
114,Macao,18,1.0,0.0,0.0,10.0,8,0.0,28.0,649000.0,22.198745000000002,113.543873,0.002773497688751926,55.55555555555556,44.44444444444444,0.0
115,Guatemala,17,5.0,1.0,0.0,0.0,16,0.0,0.9,17916000.0,15.783470999999999,-90.23075899999999,9.488725161866487e-05,0.0,94.11764705882352,5.88235294117647
116,Puerto Rico,17,3.0,0.0,0.0,0.0,17,0.0,6.0,2861000.0,18.220833,-66.590149,0.0005941978329255506,0.0,100.0,0.0
117,Rwanda,17,0.0,0.0,0.0,0.0,17,0.0,1.0,12952000.0,-1.940278,29.873888,0.00013125386040765903,0.0,100.0,0.0
118,Togo,16,7.0,0.0,0.0,0.0,16,0.0,2.0,8279000.0,8.619543,0.824782,0.00019326005556226597,0.0,100.0,0.0
119,French Guiana,15,0.0,0.0,0.0,0.0,15,0.0,50.0,299000.0,3.9338889999999997,-53.125781999999994,0.005016722408026756,0.0,100.0,0.0
120,French Polynesia,15,4.0,0.0,0.0,0.0,15,0.0,53.0,281000.0,-17.679742,-149.40684299999998,0.005338078291814947,0.0,100.0,0.0
121,Channel Islands,14,2.0,0.0,0.0,0.0,14,0.0,81.0,174000.0,33.998028000000005,-119.772949,0.008045977011494253,0.0,100.0,0.0
122,Ivory Coast,14,5.0,0.0,0.0,1.0,13,0.0,0.5,26378000.0,7.539989,-5.54708,5.307453180680871e-05,7.142857142857142,92.85714285714286,0.0
123,Maldives,13,0.0,0.0,0.0,3.0,10,0.0,24.0,541000.0,3.202778,73.22068,0.002402957486136784,23.076923076923077,76.92307692307693,0.0
124,Monaco,11,0.0,0.0,0.0,0.0,11,0.0,280.0,39000.0,43.750298,7.412841,0.028205128205128202,0.0,100.0,0.0
125,Gibraltar,10,0.0,0.0,0.0,2.0,8,0.0,297.0,34000.0,36.137741,-5.345374,0.02941176470588235,20.0,80.0,0.0
